Trial,Stimulus 1 value,Stimulus 1 std,Stimulus 2 value,Stimulus 2 std
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
5,-7.3,0.0,-0.3,0.0
6,-7.3,0.5,-0.3,0.0
7,-7.3,1.0,-0.3,0.0
8,-7.3,1.5,-0.3,0.0
9,-7.3,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
12,-7.16,1.0,-0.3,0.0
13,-7.16,1.5,-0.3,0.0
14,-7.16,2.0,-0.3,0.0
10,-7.16,0.0,-0.3,0.0
11,-7.16,0.5,-0.3,0.0
